FAC1_1,FAC2_1,FAC3_1,FAC4_1
-1.420237821,-0.989925271,-0.125680077,1.110845422
-0.288120776,0.632040196,-0.891597894,-1.440146787
-0.382646237,0.562536321,0.551250651,-1.576811791
-0.10762676,0.963837361,0.126985142,-1.021015201
-0.749540173,0.580102602,1.128928406,-1.217272743
1.13386536,1.39044667,1.105178972,-0.711122209
1.601345846,-1.129046829,0.064321662,0.789772185
-0.753262192,-0.455057885,-2.024155971,1.123968793
0.202569724,-1.311735236,1.638014456,-0.262880183
-0.577172847,-0.379835279,-0.838276786,0.106277908
-1.27979792,-0.35821758,-1.653235067,0.741892748
-0.76986683,-0.22422236,1.181710053,0.064183397
0.422945405,1.838525975,0.059805091,-0.78559103
-0.896982448,-0.650116155,-0.631755131,0.620283932
-0.814564206,-0.298811142,-0.275723855,1.425521665
-1.392026035,-0.641752359,-1.064472869,2.073634346
1.490894077,1.648429227,-0.059843221,-0.783964324
0.770798422,1.899092162,-0.632212446,-0.942422133
-0.305282392,-0.684351397,-0.966100171,1.087329462
0.933120059,-0.502284475,0.070896816,1.597654105
-0.32621276,1.702504095,0.683111244,-0.705336161
-1.063372576,-1.2356407,-0.144235357,0.989728084
0.139787019,-0.186567316,0.029327597,-0.180980917
1.381057996,-0.097218547,-1.577495081,0.313587762
0.124239542,-1.031734489,1.253293375,1.234199207
0.806567127,0.584651005,1.137801082,-1.254233732
1.111442541,-1.109574779,-0.575596827,-0.187825913
-0.59892094,1.439053021,0.619726799,-0.613459473
0.421614149,-0.892678242,1.275316356,1.10671611
-0.831442243,-0.936101405,1.28081562,0.809195192
-0.16026541,0.59132698,-0.499768301,-1.654622185
1.485033581,1.550977178,0.602170605,-0.833192333
0.987958334,1.630273859,0.628999814,-0.79652206
-0.809565082,-0.369215638,1.75373432,1.382583935
-0.293192716,1.055242523,-1.013991005,-1.251429654
0.962104293,1.75396778,-0.009347552,-0.683149443
-0.189651638,-0.3271603,-0.876140263,1.973902464
-0.960615402,1.174006719,-0.84060816,-0.915574911
-0.318149732,-0.957045364,1.718950189,0.553392755
0.276844293,-0.988971391,0.082581363,-0.003953777
0.322559864,1.938679482,1.628631714,-0.516298804
0.490974338,0.271957532,-0.357864557,-1.212752734
-0.918801086,1.200769692,1.141201364,-0.529880189
-0.260613096,1.704077003,-0.370159715,-0.512187034
2.736687919,-0.656561984,-1.950299838,-0.221798311
-0.327520832,-0.141163452,1.490449448,0.846652926
-0.494214018,-0.504833914,1.517762897,-0.145615425
-0.24463754,1.139701256,-0.382635478,-0.768233657
-0.199340958,1.943628084,-0.464304878,-0.834125256
-0.450093497,-1.133723184,1.684980182,1.912961622
-0.595872268,0.764042426,0.125934628,-1.24724226
0.047035546,1.958814227,1.086141451,-1.051161574
3.063040226,-0.300780574,-1.898311592,0.400871838
1.825628315,-0.207531665,-1.692948067,-0.019286809
1.602751342,-0.889610731,0.059079808,1.240628332
0.930090555,0.735214776,1.656369829,-0.856015074
1.404507098,-0.776385275,0.107820707,0.732855975
0.640431275,1.372717902,1.623597589,-0.712630699
-1.197987768,-0.458275617,-0.729013661,0.375619463
-1.528613949,1.223593327,-1.095684565,-1.16600061
-1.537408399,0.72181622,-1.076543287,-0.996770255
-0.957401651,0.804777948,-0.841433864,-1.490551559
0.705592212,0.627681798,-0.429888652,-1.456488383
1.48808282,-0.531286739,-0.015378784,0.013349343
1.201016302,-0.399886248,0.163832405,0.663635991
0.68826736,-1.324050758,1.826306841,0.002835938
2.339086613,-0.756868569,-0.877149015,-0.311270194
-1.430431082,1.776466481,-0.15928224,-0.461404725
0.508217775,0.690269921,1.599804295,-1.381759212
-1.146686545,-0.928656017,-0.275659868,-0.135041879
-0.873700569,-1.052938014,0.327300182,0.899013209
-0.465170765,-0.765658092,-0.526156468,-0.713655047
2.718824509,-1.222519255,-1.645854514,0.426695253
-0.11206168,1.543768672,-1.022348947,-0.70202109
-0.316253941,1.817557038,-0.99288497,-0.843553963
-0.06593466,-0.48460854,-0.368680182,1.472122755
1.426662293,-1.140789986,0.081449034,0.900188304
2.292206393,-0.408365918,-1.071717457,0.65403846
-0.230075367,-0.978596693,-0.36781016,0.518239884
-0.0036724,1.852859035,1.657307,-0.224501676
-1.321641721,2.111723196,-1.634256413,-0.912851697
0.93465686,1.345207913,1.641401239,-1.010019212
-0.931995137,-0.220131341,-0.352004836,0.245965971
0.742554977,-0.342473654,-0.549400975,0.265120873
0.312044625,-0.638866546,0.722588734,1.803573733
0.737504432,-1.214066225,1.273348734,0.642463418
1.059290776,-1.049636917,0.136726012,0.528669462
1.397441044,0.715202134,-0.78026988,-1.3844118
-0.96541989,-0.789893831,-1.703092808,0.611608835
